n, H[n]
860, 273617764
861, 274129361
862, 274641120
863, 275153040
864, 275665120
865, 276177359
866, 276689756
867, 277202310
868, 277715020
869, 278227885
870, 278740904
871, 279254076
872, 279767400
873, 280280875
874, 280794500
875, 281308274
876, 281822196
877, 282336265
878, 282850480
879, 283364840
880, 283879344
881, 284393991
882, 284908780
883, 285423710
884, 285938780
885, 286453989
886, 286969336
887, 287484820
888, 288000440
889, 288516195
890, 289032084
891, 289548106
892, 290064260
893, 290580545
894, 291096960
895, 291613504
896, 292130176
897, 292646975
898, 293163900
899, 293680950
900, 294198124
901, 294715421
902, 295232840
903, 295750380
904, 296268040
905, 296785819
906, 297303716
907, 297821730
908, 298339860
909, 298858105
910, 299376464
911, 299894936
912, 300413520
913, 300932215
914, 301451020
915, 301969934
916, 302488956
917, 303008085
918, 303527320
919, 304046660
920, 304566104
921, 305085651
922, 305605300
923, 306125050
924, 306644900
925, 307164849
926, 307684896
927, 308205040
928, 308725280
929, 309245615
930, 309766044
931, 310286566
932, 310807180
933, 311327885
934, 311848680
935, 312369564
936, 312890536
937, 313411595
938, 313932740
939, 314453970
940, 314975284
941, 315496681
942, 316018160
943, 316539720
944, 317061360
945, 317583079
946, 318104876
947, 318626750
948, 319148700
949, 319670725
950, 320192824
951, 320714996
952, 321237240
953, 321759555
954, 322281940
955, 322804394
956, 323326916
957, 323849505
958, 324372160
959, 324894880
960, 325417664
961, 325940511
962, 326463420
963, 326986390
964, 327509420
965, 328032509
966, 328555656
967, 329078860
968, 329602120
969, 330125435
970, 330648804
971, 331172226
972, 331695700
973, 332219225
974, 332742800
975, 333266424
976, 333790096
977, 334313815
978, 334837580
979, 335361390
980, 335885244
981, 336409141
982, 336933080
983, 337457060
984, 337981080
985, 338505139
986, 339029236
987, 339553370
988, 340077540
989, 340601745
990, 341125984
991, 341650256
992, 342174560
993, 342698895
994, 343223260
995, 343747654
996, 344272076
997, 344796525
998, 345321000
999, 345845500
1000, 346370024
1001, 346894571
1002, 347419140
1003, 347943730
1004, 348468340
1005, 348992969
1006, 349517616
1007, 350042280
1008, 350566960
1009, 351091655
1010, 351616364
1011, 352141086
1012, 352665820
1013, 353190565
1014, 353715320
1015, 354240084
1016, 354764856
1017, 355289635
1018, 355814420
1019, 356339210
1020, 356864004
1021, 357388801
1022, 357913600
1023, 358438400
1024, 358963200
1025, 359488000
1026, 360012800
1027, 360537600
1028, 361062400
1029, 361587200
1030, 362112000
1031, 362636800
1032, 363161600
1033, 363686400
1034, 364211200
1035, 364736000
1036, 365260800
1037, 365785600
1038, 366310400
1039, 366835200
1040, 367360000
1041, 367884800
1042, 368409600
1043, 368934400
1044, 369459200
1045, 369984000
1046, 370508800
1047, 371033600
1048, 371558400
1049, 372083200
1050, 372608000
1051, 373132800
1052, 373657600
1053, 374182400
1054, 374707200
1055, 375232000
1056, 375756800
1057, 376281600
1058, 376806400
1059, 377331200
1060, 377856000
1061, 378380800
1062, 378905600
1063, 379430400
1064, 379955200
1065, 380480000
1066, 381004800
1067, 381529600
1068, 382054400
1069, 382579200
1070, 383104000
1071, 383628800
1072, 384153600
1073, 384678400
1074, 385203200
1075, 385728000
1076, 386252800
1077, 386777600
1078, 387302400
1079, 387827200
1080, 388352000
1081, 388876800
1082, 389401600
1083, 389926400
1084, 390451200
1085, 390976000
1086, 391500800
1087, 392025600
1088, 392550400
1089, 393075200
1090, 393600000
1091, 394124800
1092, 394649600
1093, 395174400
1094, 395699200
1095, 396224000
1096, 396748800
1097, 397273600
1098, 397798400
1099, 398323200
1100, 398848000
1101, 399372800
1102, 399897600
1103, 400422400
1104, 400947200
1105, 401472000
1106, 401996800
1107, 402521600
1108, 403046400
1109, 403571200
1110, 404096000
1111, 404620800
1112, 405145600
1113, 405670400
1114, 406195200
1115, 406720000
1116, 407244800
1117, 407769600
1118, 408294400
1119, 408819200
1120, 409344000
1121, 409868800
1122, 410393600
1123, 410918400
1124, 411443200
1125, 411968000
1126, 412492800
1127, 413017600
1128, 413542400
1129, 414067200
1130, 414592000
1131, 415116800
1132, 415641600
1133, 416166400
1134, 416691200
1135, 417216000
1136, 417740800
1137, 418265600
1138, 418790400
1139, 419315200
1140, 419840000
1141, 420364800
1142, 420889600
1143, 421414400
1144, 421939200
1145, 422464000
1146, 422988800
1147, 423513600
1148, 424038400
1149, 424563200
1150, 425088000
1151, 425612800
1152, 426137600
1153, 426662400
1154, 427187200
1155, 427712000
1156, 428236800
1157, 428761600
1158, 429286400
1159, 429811200
1160, 430336000
1161, 430860800
1162, 431385600
1163, 431910400
1164, 432435200
1165, 432960000
1166, 433484800
1167, 434009600
1168, 434534400
1169, 435059200
1170, 435584000
1171, 436108800
1172, 436633600
1173, 437158400
1174, 437683200
1175, 438208000
1176, 438732800
1177, 439257600
1178, 439782400
1179, 440307200
1180, 440832000
1181, 441356800
1182, 441881600
1183, 442406400
1184, 442931200
1185, 443456000
1186, 443980800
1187, 444505600
1188, 445030400
1189, 445555200
1190, 446080000
1191, 446604800
1192, 447129600
1193, 447654400
1194, 448179200
1195, 448704000
1196, 449228800
1197, 449753600
1198, 450278400
1199, 450803200
1200, 451328000
1201, 451852800
1202, 452377600
1203, 452902400
1204, 453427200
1205, 453952000
1206, 454476800
1207, 455001600
1208, 455526400
1209, 456051200
1210, 456576000
1211, 457100800
1212, 457625600
1213, 458150400
1214, 458675200
1215, 459200000
1216, 459724800
1217, 460249600
1218, 460774400
1219, 461299200
1220, 461824000
1221, 462348800
1222, 462873600
1223, 463398400
1224, 463923200
1225, 464448000
1226, 464972800
1227, 465497600
1228, 466022400
1229, 466547200
1230, 467072000
1231, 467596800
1232, 468121600
1233, 468646400
1234, 469171200
1235, 469696000
1236, 470220800
1237, 470745600
1238, 471270400
1239, 471795200
1240, 472320000
1241, 472844800
1242, 473369600
1243, 473894400
1244, 474419200
1245, 474944000
1246, 475468800
1247, 475993600
1248, 476518400
1249, 477043200
1250, 477568000
1251, 478092800
1252, 478617600
1253, 479142400
1254, 479667200
1255, 480192000
1256, 480716800
1257, 481241600
1258, 481766400
1259, 482291200
1260, 482816000
1261, 483340800
1262, 483865600
1263, 484390400
1264, 484915200
1265, 485440000
1266, 485964800
1267, 486489600
1268, 487014400
1269, 487539200
1270, 488064000
1271, 488588800
1272, 489113600
1273, 489638400
1274, 490163200
1275, 490688000
1276, 491212800
1277, 491737600
1278, 492262400
1279, 492787200
1280, 493312000
1281, 493836800
1282, 494361600
1283, 494886400
1284, 495411200
1285, 495936000
1286, 496460800
1287, 496985600
1288, 497510400
1289, 498035200
1290, 498560000
1291, 499084800
1292, 499609600
1293, 500134400
1294, 500659200
1295, 501184000
1296, 501708800
1297, 502233600
1298, 502758400
1299, 503283200
1300, 503808000
1301, 504332800
1302, 504857600
1303, 505382400
1304, 505907200
1305, 506432000
1306, 506956800
1307, 507481600
1308, 508006400
1309, 508531200
1310, 509056000
1311, 509580800
1312, 510105600
1313, 510630400
1314, 511155200
1315, 511680000
1316, 512204800
1317, 512729600
1318, 513254400
1319, 513779200
1320, 514304000
1321, 514828800
1322, 515353600
1323, 515878400
1324, 516403200
1325, 516928000
1326, 517452800
1327, 517977600
1328, 518502400
1329, 519027200
1330, 519552000
1331, 520076800
1332, 520601600
1333, 521126400
1334, 521651200
1335, 522176000
1336, 522700800
1337, 523225600
1338, 523750400
1339, 524275200
1340, 524800000
1341, 525324800
1342, 525849600
1343, 526374400
1344, 526899200
1345, 527424000
1346, 527948800
1347, 528473600
1348, 528998400
1349, 529523200
1350, 530048000
1351, 530572800
1352, 531097600
1353, 531622400
1354, 532147200
1355, 532672000
1356, 533196800
1357, 533721600
1358, 534246400
1359, 534771200
1360, 535296000
1361, 535820800
1362, 536345600
1363, 536870400
1364, 537395200
1365, 537920000
1366, 538444800
1367, 538969600
1368, 539494400
1369, 540019200
1370, 540544000
1371, 541068800
1372, 541593600
1373, 542118400
1374, 542643200
1375, 543168000
1376, 543692800
1377, 544217600
1378, 544742400
1379, 545267200
1380, 545792000
1381, 546316800
1382, 546841600
1383, 547366400
1384, 547891200
1385, 548416000
1386, 548940800
1387, 549465600
1388, 549990400
1389, 550515200
1390, 551040000
1391, 551564800
1392, 552089600
1393, 552614400
1394, 553139200
1395, 553664000
1396, 554188800
1397, 554713600
1398, 555238400
1399, 555763200
1400, 556288000
1401, 556812800
1402, 557337600
1403, 557862400
1404, 558387200
1405, 558912000
1406, 559436800
1407, 559961600
1408, 560486400
1409, 561011200
1410, 561536000
1411, 562060800
1412, 562585600
1413, 563110400
1414, 563635200
1415, 564160000
1416, 564684800
1417, 565209600
1418, 565734400
1419, 566259200
1420, 566784000
1421, 567308800
1422, 567833600
1423, 568358400
1424, 568883200
1425, 569408000
1426, 569932800
1427, 570457600
1428, 570982400
1429, 571507200
1430, 572032000
1431, 572556800
1432, 573081600
1433, 573606400
1434, 574131200
1435, 574656000
1436, 575180800
1437, 575705600
1438, 576230400
1439, 576755200
1440, 577280000
1441, 577804800
1442, 578329600
1443, 578854400
1444, 579379200
1445, 579904000
1446, 580428800
1447, 580953600
1448, 581478400
1449, 582003200
1450, 582528000
1451, 583052800
1452, 583577600
1453, 584102400
1454, 584627200
1455, 585152000
1456, 585676800
1457, 586201600
1458, 586726400
1459, 587251200
1460, 587776000
1461, 588300800
1462, 588825600
1463, 589350400
1464, 589875200
1465, 590400000
1466, 590924800
1467, 591449600
1468, 591974400
1469, 592499200
1470, 593024000
1471, 593548800
1472, 594073600
1473, 594598400
1474, 595123200
1475, 595648000
1476, 596172800
1477, 596697600
1478, 597222400
1479, 597747200
1480, 598272000
1481, 598796800
1482, 599321600
1483, 599846400
1484, 600371200
1485, 600896000
1486, 601420800
1487, 601945600
1488, 602470400
1489, 602995200
1490, 603520000
1491, 604044800
1492, 604569600
1493, 605094400
1494, 605619200
1495, 606144000
1496, 606668800
1497, 607193600
1498, 607718400
1499, 608243200
1500, 608768000
1501, 609292800
1502, 609817600
1503, 610342400
1504, 610867200
1505, 611392000
1506, 611916800
1507, 612441600
1508, 612966400
1509, 613491200
1510, 614016000
1511, 614540800
1512, 615065600
1513, 615590400
1514, 616115200
1515, 616640000
1516, 617164800
1517, 617689600
1518, 618214400
1519, 618739200
1520, 619264000
1521, 619788800
1522, 620313600
1523, 620838400
1524, 621363200
1525, 621888000
1526, 622412800
1527, 622937600
1528, 623462400
1529, 623987200
1530, 624512000
1531, 625036800
1532, 625561600
1533, 626086400
1534, 626611200
1535, 627136000
1536, 627660800
1537, 628185600
1538, 628710400
1539, 629235200
1540, 629760000
1541, 630284800
1542, 630809600
1543, 631334400
